2026-07-19 11:20:24,912 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2060.8ms)
2026-07-19 11:20:26,988 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2071.1ms)
2026-07-19 11:20:29,051 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2059.7ms)
2026-07-19 11:20:31,128 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2073.6ms)
2026-07-19 11:20:33,205 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2072.3ms)
2026-07-19 11:20:35,267 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2058.4ms)
2026-07-19 11:20:37,342 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2071.1ms)
2026-07-19 11:20:41,196 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:20:43,314 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:20:43,319 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/chat -> 200 (5962.2ms)
2026-07-19 11:20:43,573 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2076.2ms)
2026-07-19 11:20:55,262 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2090.9ms)
2026-07-19 11:20:59,649 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2077.5ms)
2026-07-19 11:21:01,808 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2116.7ms)
2026-07-19 11:21:03,899 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2066.2ms)
2026-07-19 11:21:05,972 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2066.5ms)
2026-07-19 11:21:08,014 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2040.5ms)
2026-07-19 11:21:10,052 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2033.7ms)
2026-07-19 11:21:12,129 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2073.5ms)
2026-07-19 11:21:14,167 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2034.3ms)
2026-07-19 11:21:16,223 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2052.0ms)
2026-07-19 11:21:18,277 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2049.0ms)
2026-07-19 11:21:26,754 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2062.0ms)
2026-07-19 11:21:28,834 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2052.9ms)
2026-07-19 11:21:32,625 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:21:32,628 | INFO     | customer_support_agent.graph.nodes | classify_ticket: raw_response='{"category":"other"}' -> category=other
2026-07-19 11:21:33,850 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:21:33,870 | INFO     | pinecone.index | Index client created for host https://policies-r1zzu8l.svc.aped-4627-b74a.pinecone.io
2026-07-19 11:21:35,352 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/embeddings "HTTP/1.1 200 OK"
2026-07-19 11:21:35,406 | INFO     | pinecone.index | Querying index with top_k=5
2026-07-19 11:21:38,072 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:21:39,834 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:21:41,815 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:21:41,828 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/tickets/20/process -> 200 (12987.9ms)
2026-07-19 11:21:43,969 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2098.6ms)
2026-07-19 11:21:46,031 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2041.6ms)
2026-07-19 11:21:48,074 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2032.8ms)
2026-07-19 11:21:50,112 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2036.5ms)
2026-07-19 11:21:52,171 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2055.1ms)
2026-07-19 11:21:54,243 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2065.7ms)
2026-07-19 11:21:56,290 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2043.7ms)
2026-07-19 11:21:58,355 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2059.8ms)
2026-07-19 11:22:00,404 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2045.2ms)
2026-07-19 11:22:09,476 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2122.6ms)
2026-07-19 11:22:11,567 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2065.9ms)
2026-07-19 11:22:13,616 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/tickets/20/approve -> 200 (2040.3ms)
2026-07-19 11:22:15,729 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2072.9ms)
2026-07-19 11:22:17,823 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2064.7ms)
2026-07-19 11:22:19,891 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2061.9ms)
2026-07-19 11:22:21,961 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2067.6ms)
2026-07-19 11:22:24,022 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2057.8ms)
2026-07-19 11:22:26,050 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2023.6ms)
2026-07-19 11:22:28,142 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2088.9ms)
